Record ID,Offender Number,Record Date,Fiscal Year Revoked,Revocation Type,Status,Sex,Race & Ethnicity,Age,Offense Code,Offense Class,Offense Description,Offense Type,Offense Subtype
11029,20129393,05/01/2017,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Special Sentence,Male,Black,27,903B.1,Special Sentence 2005,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex
11028,20828060,08/04/2021,2022,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,30,708.8,D Felony,GOING ARMED WITH INTENT,Violent,Assault
11027,232337,05/17/2017,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,54,715A.6(2)(B),D Felony,"UNAUTH. USE OF CREDIT CARD, GREATER THAN $1K, LESS THAN $10K",Property,Forgery/Fraud
11026,18312314,05/15/2018,2018,3. Revoked - New Arrest Pending or Found Not Guilty,Parole,Male,Hispanic,35,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
11025,18011120,12/15/2016,2017,2. Revoked - Serious Misdemeanor New Conviction,Special Sentence,Male,White,31,903B.1,Special Sentence 2005,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex
11024,18530009,12/20/2018,2019,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,37,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
11023,18372248,10/13/2015,2016,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,28,713.6A,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
11022,3120392,10/26/2018,2019,4. Revoked - New Arrest ICON,Parole,Male,White,46,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
11021,19020863,02/05/2019,2019,4. Revoked - New Arrest ICON,Parole,Female,White,30,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
11020,3409421,04/17/2024,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,American Indian or Alaska Native,44,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
11019,20657600,10/27/2023,2024,3. Revoked - New Arrest Pending or Found Not Guilty,Parole,Male,Black,41,124.401(1)(c)(3),C Felony,"Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking
11018,2416220,11/28/2016,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,47,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
11017,19103777,08/14/2023,2024,2. Revoked - Serious Misdemeanor New Conviction,Parole,Male,White,42,712.3,C Felony,ARSON 2ND DEGREE,Property,Arson
11016,18322205,10/09/2018,2019,4. Revoked - New Arrest ICON,Parole,Male,Black,38,124.411,Felony - Enhancement to Original Penalty,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking
11015,18602531,04/13/2016,2016,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,27,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary
11014,3368534,03/07/2016,2016,6. Revoked - Other (No New Arrest) - No ROV Data,Special Sentence,Male,Hispanic,24,903B.2,Special Sentence 2005,Special Supervision Sentence-D Felony or Misdemeanors/10 years parole,Violent,Sex
11013,20341832,11/01/2023,2024,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,Black,27,724.26(2)(a),D Felony,Dominion/Control of firearm/off weapon by domestic abuse offender,Public Order,Weapons
11012,3449603,06/01/2020,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,37,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
11011,3308513,10/12/2015,2016,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,37,713.5,C Felony,BURGLARY 2ND DEGREE,Property,Burglary
11010,20388005,02/11/2019,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,36,124.401(1)(b)(7),B Felony,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking
11009,3181283,02/21/2017,2017,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Female,White,44,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
11008,19218293,05/25/2022,2022,4. Revoked - New Arrest ICON,Parole,Male,Hispanic,34,714.2(1),C Felony,THEFT 1ST DEGREE,Property,Theft
11007,20480564,08/02/2016,2017,5. Revoked - Other Violation (No New Arrest),Parole,Female,White,22,124.401(1)(c)(6),C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
11006,3068111,03/02/2020,2020,1. Revoked - New Felony/Aggravated Misdemeanor Conviction,Parole,Male,White,46,"902.8,B",Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
11005,19481876,10/22/2019,2020,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,33,708.2(3),Aggravated Misdemeanor,ASSAULT WHILE DISPLAYING A DANGEROUS WEAPON,Violent,Assault
11004,20548871,10/16/2018,2019,5. Revoked - Other Violation (No New Arrest),Parole,Male,White,35,124.401(5)(c),D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
