Record ID,Offender Number,Revocation Date,Fiscal Year Revoked,Revocation Type,Status Revoked,Sex,Race & Ethnicity,Age,Offense Classification,Offense Description,Offense Type,Offense Subtype
0,20229803,06/15/2022,2022,3. New Arrest,Probation,Male,White,33,D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
1,18368447,10/05/2015,2016,9. Need to Review,Probation,Female,White,28,D Felony,THEFT 2ND DEGREE,Property,Theft
2,19460591,04/19/2019,2019,4. New Arrest ICON,Probation,Male,Black,37,Aggravated Misdemeanor,OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI
3,19772666,08/26/2016,2017,1. New Fel/Agg Conv,Probation,Male,White,22,Aggravated Misdemeanor,OPERATE VEHICLE NO CONSENT,Property,Theft
4,18482687,10/25/2024,,4. New Arrest ICON,Probation,Female,White,37,Aggravated Misdemeanor,OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE,Public Order,OWI
5,18872825,02/11/2015,2015,4. New Arrest ICON,Probation,Male,White,33,D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
6,18394631,07/09/2019,2020,4. New Arrest ICON,Probation,Female,White,40,Aggravated Misdemeanor,ATTEMPTED BURGLARY 3RD DEGREE,Property,Burglary
7,18405842,01/20/2016,2016,4. New Arrest ICON,Probation,Male,White,24,Aggravated Misdemeanor,UNAUTH. USE OF CREDIT CARD $1K,Property,Forgery/Fraud
8,18513905,02/25/2022,2022,3. New Arrest,Probation,Female,White,45,D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
9,19255796,07/03/2017,2018,4. New Arrest ICON,Probation,Male,White,32,D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
10,19889189,07/12/2024,,1. New Fel/Agg Conv,Probation,Female,White,39,D Felony,LOTTERY - FORGERY OR THEFT OF TICKET,Property,Forgery/Fraud
11,3439955,01/05/2015,2015,2. Other New Conv,Probation,Male,White,33,Aggravated Misdemeanor,THEFT 3RD DEGREE,Property,Theft
12,19745588,04/10/2015,2015,4. New Arrest ICON,Probation,Male,White,26,Aggravated Misdemeanor,Sex Offender - Registration Violation - 1st offense,Public Order,Other Public Order
13,3113990,03/23/2015,2015,1. New Fel/Agg Conv,Probation,Male,White,48,D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
14,3311996,02/23/2016,2016,4. New Arrest ICON,Probation,Male,White,35,Aggravated Misdemeanor,DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic
15,19976747,12/15/2023,2024,4. New Arrest ICON,Probation,Male,White,19,C Felony,"Conspire w/Intent Deliver False Other l,ll,lll CS",Drug,Trafficking
16,18455855,08/15/2024,,1. New Fel/Agg Conv,Probation,Male,White,38,D Felony,Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order
17,19400366,11/26/2024,,1. New Fel/Agg Conv,Probation,Male,White,23,Aggravated Misdemeanor,FORGERY-Use/Utter Forged Writing,Property,Forgery/Fraud
18,20518976,04/25/2024,2024,5. Other Vio-No Arrest,Probation,Male,Black,24,Aggravated Misdemeanor,Domestic Abuse Assault Impeding Flow of Air/Blood,Violent,Assault
